Outlet_ID,Brand,Outlet_Name,City,State,PIN_Code,Outlet_Format,Primary_Category,Opening_Date,Monthly_Orders,Monthly_Sales_INR,Avg_Order_Value_INR,Customer_Rating,Staff_Count,Delivery_Partners,Monthly_Rent_INR,Preferred_Payment,Service_Mode,Outlet_Status,Ownership_Type
OUT10032,Subway,Subway - Coimbatore 24,Coimbatore,Tamil Nadu,600001.0,Food Court,Sandwich,2024-12-04,197.0,25027.04,127.04,4.1,24.0,31.0,147413.01,Wallet,Takeaway,Open,Franchise
OUT10033,Taco Bell,Taco Bell - Varanasi 1,Varanasi,Uttar Pradesh,201301.0,Food Court,Donuts,2023-11-11,142.0,17983.9,126.65,4.2,30.0,35.0,87261.94,Wallet,Delivery,Open,Franchise
OUT10034,Burger King,Burger King - Mumbai 7,Mumbai,Maharashtra,411001.0,Mall,Tacos,2024-06-26,104.0,27865.69,267.94,4.1,10.0,21.0,127554.77,UPI,Drive-thru,Closed,Franchise
OUT10035,Mcdonald'S,McDonald's - Udaipur 25,Udaipur,Rajasthan,302001.0,Food Court,Tacos,2023-06-25,214.0,10744.51,50.21,4.4,12.0,21.0,77396.47,UPI,Dine-in,Open,Company Owned
OUT10036,Starbucks,Starbucks - Indore 9,Indore,Madhya Pradesh,797001.0,Standalone,Fried Chicken,2024-08-07,169.0,24614.7,145.65,3.7,27.0,2.0,60544.22,Wallet,Drive-thru,Open,Franchise
OUT10037,Starbucks,Starbucks - Leh 21,Leh,Ladakh,834001.0,Drive-Thru,Fried Chicken,2023-03-02,156.0,17648.72,113.13,3.8,9.0,3.0,106171.39,UPI,Delivery,Open,Franchise
OUT10038,Subway,Subway - Thane 10,Thane,Maharashtra,400601.0,Drive-Thru,Tacos,2024-03-18,148.0,23577.72,159.31,4.4,11.0,10.0,90498.25,UPI,Takeaway,Closed,Franchise
OUT10039,Mcdonald'S,McDonald's - Leh 40,Leh,Ladakh,795001.0,Food Court,Coffee & Snacks,2025-02-19,130.0,22240.15,171.08,4.2,7.0,24.0,100221.47,Wallet,Drive-thru,Open,Franchise
OUT10040,Wendy'S,Wendy's - Nashik 5,Nashik,Maharashtra,400001.0,Mall,Donuts,2024-12-07,228.0,31207.4,136.87,3.2,19.0,21.0,95729.67,Cash,Dine-in,Open,Company Owned
OUT10041,Starbucks,Starbucks - Kohima 32,Kohima,Nagaland,796001.0,Standalone,Pizza,2024-11-10,144.0,12565.61,87.26,3.2,9.0,14.0,17211.01,Wallet,Dine-in,Open,Company Owned
OUT10042,Dunkin',Dunkin' - Aizawl 10,Aizawl,Mizoram,682001.0,Standalone,Coffee & Snacks,2025-02-20,140.0,16198.97,115.71,4.2,22.0,10.0,82104.83,Wallet,Takeaway,Open,Franchise
OUT10043,Subway,Subway - Pune 10,Pune,Maharashtra,440001.0,Drive-Thru,Coffee & Snacks,2025-06-29,190.0,27767.13,146.14,3.6,12.0,16.0,72564.91,Cash,Dine-in,Renovation,Franchise
OUT10044,Subway,Subway - Bhopal 26,Bhopal,Madhya Pradesh,751001.0,Mall,Unknown,2025-07-27,217.0,12986.27,59.84,5.0,26.0,23.0,163096.44,Wallet,Takeaway,Open,Company Owned
OUT10045,Starbucks,Starbucks - New Delhi 28,New Delhi,Delhi,110001.0,Food Court,Coffee & Snacks,2025-11-24,135.0,20121.0,149.04,4.0,14.0,5.0,48198.21,Wallet,Dine-in,Open,Company Owned
OUT10046,Subway,Subway - Coimbatore 38,Coimbatore,Tamil Nadu,641001.0,Drive-Thru,Sandwich,2023-09-25,254.0,3445.02,13.56,4.0,30.0,32.0,78859.8,Wallet,Takeaway,Open,Franchise
OUT10047,Pizza Hut,Pizza Hut - Chandigarh 21,Chandigarh,Chandigarh,795001.0,Mall,Donuts,2023-09-05,251.0,19936.14,79.43,3.2,10.0,31.0,109640.1,Cash,Takeaway,Open,Franchise
OUT10048,Kfc,KFC - Chennai 22,Chennai,Tamil Nadu,600001.0,High Street,Sandwich,2023-07-15,167.0,28935.5,173.27,4.0,10.0,12.0,125738.45,Cash,Delivery,Renovation,Company Owned
OUT10049,Starbucks,Starbucks - Jammu 2,Jammu,Jammu And Kashmir,403001.0,Food Court,Sandwich,2023-09-30,205.0,14319.28,69.85,3.5,5.0,13.0,68265.88,Card,Drive-thru,Open,Company Owned
OUT10050,Burger King,Burger King - Nashik 32,Nashik,Maharashtra,440001.0,Food Court,Donuts,2025-09-09,204.0,25241.89,123.73,3.7,12.0,4.0,121646.52,Wallet,Dine-in,Open,Company Owned
OUT10051,Burger King,Burger King - Kavaratti 13,Kavaratti,Lakshadweep,248001.0,Food Court,Pizza,2024-06-03,215.0,16836.99,78.31,4.7,20.0,27.0,76389.63,Cash,Dine-in,Renovation,Franchise
OUT10052,Mcdonald'S,McDonald's - Aizawl 20,Aizawl,Mizoram,396210.0,Standalone,Tacos,2025-11-08,132.0,18092.36,137.06,4.2,6.0,34.0,18187.73,Cash,Drive-thru,Open,Company Owned
OUT10053,Domino'S,Domino's - Thane 12,Thane,Maharashtra,400601.0,Food Court,Donuts,2023-06-09,97.0,1458.19,15.03,4.4,20.0,35.0,134310.98,Wallet,Delivery,Renovation,Franchise
OUT10054,Wendy'S,Wendy's - Vijayawada 28,Vijayawada,Andhra Pradesh,682001.0,Drive-Thru,Donuts,2024-05-08,222.0,4284.38,19.3,4.0,20.0,10.0,48546.28,Card,Takeaway,Closed,Franchise
OUT10055,Burger King,Burger King - Coimbatore 35,Coimbatore,Tamil Nadu,641001.0,Drive-Thru,Coffee & Snacks,2025-01-14,82.0,14697.83,179.24,3.3,21.0,14.0,161571.87,Card,Dine-in,Open,Franchise
OUT10056,Dunkin',Dunkin' - Kavaratti 18,Kavaratti,Lakshadweep,800001.0,Food Court,Donuts,2023-05-06,75.0,11535.33,153.8,3.9,9.0,10.0,91593.63,Cash,Takeaway,Open,Company Owned
OUT10057,Domino'S,Domino's - Faridabad 10,Faridabad,Haryana,834001.0,Standalone,Coffee & Snacks,2023-04-20,150.0,9989.76,66.6,4.1,23.0,33.0,99191.4,UPI,Takeaway,Open,Company Owned
OUT10058,Mcdonald'S,McDonald's - Chennai 10,Chennai,Tamil Nadu,641001.0,Food Court,Fried Chicken,2025-08-11,184.0,17585.83,95.58,4.5,26.0,34.0,39293.29,UPI,Drive-thru,Open,Franchise
OUT10059,Burger King,Burger King - Panaji 2,Panaji,Goa,796001.0,High Street,Tacos,2024-06-10,214.0,25312.27,118.28,4.2,10.0,7.0,105965.4,Wallet,Drive-thru,Open,Franchise
OUT10060,Pizza Hut,Pizza Hut - Kochi 24,Kochi,Kerala,682001.0,High Street,Tacos,2025-10-09,198.0,25316.11,127.86,3.4,17.0,29.0,128504.05,Wallet,Takeaway,Open,Company Owned
OUT10061,Wendy'S,Wendy's - Varanasi 14,Varanasi,Uttar Pradesh,226001.0,High Street,Burger,2025-09-13,160.0,27676.02,172.98,4.2,28.0,7.0,55322.67,Cash,Dine-in,Open,Franchise
OUT10062,Taco Bell,Taco Bell - Bengaluru 2,Bengaluru,Karnataka,570001.0,Drive-Thru,Fried Chicken,2024-01-23,95.0,22179.43,233.47,4.6,24.0,19.0,37611.45,Cash,Takeaway,Closed,Franchise
OUT10063,Starbucks,Starbucks - Ludhiana 23,Ludhiana,Punjab,141001.0,Standalone,Fried Chicken,2025-07-31,132.0,26891.04,203.72,3.8,7.0,11.0,152247.02,Card,Takeaway,Closed,Company Owned
OUT10064,Dunkin',Dunkin' - Lucknow 36,Lucknow,Uttar Pradesh,221001.0,Food Court,Donuts,2023-04-09,183.0,28100.84,153.56,3.6,12.0,7.0,153804.61,Wallet,Drive-thru,Open,Franchise
OUT10065,Subway,Subway - Bhopal 38,Bhopal,Madhya Pradesh,492001.0,Mall,Burger,2023-03-18,188.0,21979.19,116.91,4.4,20.0,30.0,101225.03,UPI,Drive-thru,Renovation,Company Owned
OUT10066,Wendy'S,Wendy's - Noida 21,Noida,Uttar Pradesh,226001.0,High Street,Burger,2023-02-14,220.0,18626.94,84.67,3.9,7.0,27.0,85487.69,UPI,Dine-in,Renovation,Company Owned
OUT10067,Kfc,KFC - Vijayawada 8,Vijayawada,Andhra Pradesh,560001.0,Food Court,Coffee & Snacks,2023-05-26,164.0,19954.49,121.67,3.0,8.0,21.0,130613.82,Wallet,Dine-in,Open,Company Owned
OUT10068,Pizza Hut,Pizza Hut - Srinagar 33,Srinagar,Jammu And Kashmir,462001.0,Food Court,Sandwich,2025-03-30,105.0,15745.52,149.96,3.8,5.0,33.0,118674.08,Card,Dine-in,Closed,Franchise
OUT10069,Mcdonald'S,McDonald's - Port Blair 25,Port Blair,Andaman And Nicobar Islands,682553.0,Standalone,Tacos,2025-09-02,46.0,8895.69,193.38,5.0,4.0,33.0,137843.58,Card,Drive-thru,Open,Company Owned
OUT10070,Domino'S,Domino's - Daman 34,Daman,Dadra And Nagar Haveli And Daman And Diu,462001.0,Food Court,Pizza,2024-08-26,238.0,17298.2,72.68,4.7,28.0,29.0,84179.0,UPI,Takeaway,Renovation,Franchise
OUT10071,Mcdonald'S,McDonald's - Gangtok 38,Gangtok,Sikkim,682001.0,Mall,Tacos,2025-01-24,129.0,5620.53,43.57,4.0,9.0,31.0,81821.39,Wallet,Delivery,Open,Company Owned
OUT10072,Kfc,KFC - Shillong 4,Shillong,Meghalaya,682001.0,Food Court,Donuts,2024-05-15,40.0,12032.53,300.81,3.9,29.0,12.0,50777.95,Cash,Takeaway,Open,Company Owned
OUT10073,Kfc,KFC - Faridabad 8,Faridabad,Haryana,396210.0,Standalone,Tacos,2024-03-23,189.0,16801.78,88.9,4.2,25.0,4.0,132716.75,Cash,Drive-thru,Renovation,Franchise
OUT10074,Wendy'S,Wendy's - Ranchi 6,Ranchi,Jharkhand,793001.0,High Street,Coffee & Snacks,2023-04-07,170.0,8969.06,52.76,4.4,6.0,19.0,70796.24,Card,Delivery,Open,Franchise
OUT10075,Subway,Subway - Ludhiana 36,Ludhiana,Punjab,143001.0,Drive-Thru,Tacos,2023-05-27,68.0,17655.9,259.65,4.3,21.0,17.0,105259.13,Wallet,Delivery,Renovation,Company Owned
OUT10076,Starbucks,Starbucks - Mysuru 6,Mysuru,Karnataka,570001.0,High Street,Burger,2025-03-15,70.0,19399.97,277.14,4.6,4.0,28.0,67596.88,Wallet,Delivery,Closed,Franchise
OUT10077,Pizza Hut,Pizza Hut - Faridabad 13,Faridabad,Haryana,396210.0,Drive-Thru,Donuts,2023-12-04,152.0,19786.75,130.18,4.1,14.0,27.0,130594.59,Cash,Dine-in,Closed,Franchise
OUT10078,Burger King,Burger King - Vijayawada 37,Vijayawada,Andhra Pradesh,171001.0,Drive-Thru,Donuts,2023-06-02,158.0,9583.74,60.66,3.4,11.0,32.0,99534.79,Card,Takeaway,Open,Company Owned
OUT10079,Mcdonald'S,McDonald's - Coimbatore 25,Coimbatore,Tamil Nadu,600001.0,Mall,Coffee & Snacks,2023-10-12,51.0,19308.23,378.59,4.1,19.0,28.0,108791.24,Cash,Takeaway,Open,Franchise
OUT10080,Subway,Subway - Dehradun 25,Dehradun,Uttarakhand,403001.0,High Street,Pizza,2024-05-02,131.0,19826.48,151.35,3.6,23.0,13.0,63752.63,Cash,Delivery,Open,Company Owned
OUT10081,Domino'S,Domino's - Puducherry 7,Puducherry,Puducherry,682553.0,High Street,Coffee & Snacks,2025-07-27,199.0,14964.56,75.2,4.2,19.0,12.0,130757.97,Wallet,Delivery,Open,Franchise
OUT10082,Dunkin',Dunkin' - Visakhapatnam 10,Visakhapatnam,Andhra Pradesh,793001.0,Standalone,Pizza,2025-12-16,234.0,30260.2,129.32,3.7,4.0,30.0,37570.35,Cash,Dine-in,Closed,Franchise
OUT10083,Dunkin',Dunkin' - Bhubaneswar 15,Bhubaneswar,Odisha,403001.0,Food Court,Sandwich,2023-09-06,136.0,15671.24,115.23,4.0,29.0,6.0,81581.65,Wallet,Takeaway,Closed,Company Owned
OUT10084,Subway,Subway - Leh 40,Leh,Ladakh,248001.0,Standalone,Sandwich,2024-05-28,144.0,5322.81,36.96,4.2,13.0,22.0,157376.52,Card,Delivery,Renovation,Franchise
OUT10085,Pizza Hut,Pizza Hut - Bengaluru 15,Bengaluru,Karnataka,570001.0,Food Court,Fried Chicken,2024-08-26,241.0,23774.9,98.65,4.4,29.0,8.0,63627.77,Card,Drive-thru,Open,Company Owned
OUT10086,Starbucks,Starbucks - Dehradun 40,Dehradun,Uttarakhand,682001.0,Drive-Thru,Pizza,2025-03-19,128.0,36089.24,281.95,4.2,21.0,26.0,136762.89,Cash,Takeaway,Closed,Franchise
OUT10087,Starbucks,Starbucks - Shimla 40,Shimla,Himachal Pradesh,800001.0,High Street,Pizza,2024-09-10,156.0,23584.32,151.18,4.5,9.0,29.0,114650.33,Card,Drive-thru,Closed,Company Owned
OUT10088,Kfc,KFC - New Delhi 3,New Delhi,Delhi,110025.0,Drive-Thru,Tacos,2024-09-20,98.0,17496.44,178.54,5.0,14.0,21.0,90498.25,Wallet,Dine-in,Renovation,Company Owned
OUT10089,Dunkin',Dunkin' - Kavaratti 23,Kavaratti,Lakshadweep,797001.0,Standalone,Tacos,2025-11-02,1500.0,250000.0,86.39,3.3,11.0,2.0,62199.33,Wallet,Drive-thru,Closed,Company Owned
OUT10090,Pizza Hut,Pizza Hut - Kavaratti 2,Kavaratti,Lakshadweep,797001.0,Mall,Fried Chicken,2025-02-12,75.0,5376.31,71.68,3.8,10.0,13.0,64450.94,Wallet,Drive-thru,Closed,Franchise
OUT10091,Starbucks,Starbucks - Kohima 2,Kohima,Nagaland,797001.0,Drive-Thru,Burger,2024-01-24,80.0,13148.08,164.35,3.7,7.0,9.0,108169.53,Card,Drive-thru,Open,Company Owned
OUT10092,Burger King,Burger King - Lucknow 7,Lucknow,Uttar Pradesh,221001.0,Standalone,Fried Chicken,2025-11-22,177.0,20094.62,113.53,4.6,14.0,21.0,93072.07,UPI,Delivery,Open,Company Owned
OUT10093,Domino'S,Domino's - Kolkata 7,Kolkata,West Bengal,700091.0,Mall,Donuts,2025-08-01,163.0,11506.83,70.59,3.6,30.0,14.0,88203.52,Wallet,Takeaway,Renovation,Franchise
OUT10094,Mcdonald'S,McDonald's - Ahmedabad 10,Ahmedabad,Gujarat,380001.0,Standalone,Sandwich,2024-12-10,130.0,32480.79,249.85,4.3,7.0,29.0,114726.44,Card,Delivery,Open,Company Owned
OUT10095,Mcdonald'S,McDonald's - Kohima 4,Kohima,Nagaland,799001.0,Standalone,Sandwich,2025-06-23,143.0,22135.1,154.79,4.9,15.0,8.0,66895.7,UPI,Drive-thru,Open,Company Owned
OUT10096,Mcdonald'S,McDonald's - Varanasi 35,Varanasi,Uttar Pradesh,221001.0,Drive-Thru,Fried Chicken,2024-06-07,213.0,8013.76,37.62,4.3,17.0,8.0,126337.9,Cash,Dine-in,Open,Franchise
OUT10097,Dunkin',Dunkin' - Lucknow 28,Lucknow,Uttar Pradesh,201301.0,Mall,Coffee & Snacks,2024-09-21,201.0,26275.8,130.73,3.2,11.0,25.0,78819.38,UPI,Drive-thru,Open,Company Owned
OUT10098,Taco Bell,Taco Bell - Pune 39,Pune,Maharashtra,411001.0,Drive-Thru,Fried Chicken,2024-09-28,232.0,27197.89,117.23,3.7,20.0,28.0,65035.03,Cash,Delivery,Renovation,Company Owned
OUT10099,Wendy'S,Wendy's - Gangtok 17,Gangtok,Sikkim,737101.0,High Street,Coffee & Snacks,2024-08-17,174.0,18309.96,105.23,3.9,28.0,30.0,65295.41,Card,Takeaway,Renovation,Company Owned
OUT10100,Subway,Subway - Thiruvananthapuram 1,Thiruvananthapuram,Kerala,462001.0,High Street,Tacos,2023-08-14,165.0,25464.33,154.33,4.0,23.0,23.0,115452.91,Cash,Delivery,Open,Company Owned
OUT10101,Taco Bell,Taco Bell - Dehradun 7,Dehradun,Uttarakhand,751001.0,Food Court,Donuts,2025-08-03,151.0,39243.67,259.89,4.4,30.0,29.0,139473.42,Wallet,Takeaway,Renovation,Company Owned
OUT10102,Kfc,KFC - Nashik 23,Nashik,Maharashtra,422001.0,Food Court,Donuts,2024-12-30,68.0,14256.41,209.65,3.9,19.0,2.0,61962.04,Cash,Drive-thru,Closed,Franchise
OUT10103,Kfc,KFC - Lucknow 35,Lucknow,Uttar Pradesh,221001.0,Mall,Burger,2024-08-25,43.0,16382.69,380.99,4.9,28.0,23.0,106312.61,Wallet,Takeaway,Closed,Company Owned
OUT10104,Subway,Subway - Jammu 14,Jammu,Jammu And Kashmir,682001.0,Mall,Burger,2023-01-05,177.0,26723.68,150.98,3.9,11.0,13.0,131155.26,UPI,Takeaway,Renovation,Company Owned
OUT10105,Dunkin',Dunkin' - Panaji 19,Panaji,Goa,800001.0,High Street,Burger,2025-11-23,155.0,24220.1,156.26,3.5,17.0,16.0,92885.44,UPI,Delivery,Open,Franchise
OUT10106,Taco Bell,Taco Bell - Agartala 29,Agartala,Tripura,171001.0,Drive-Thru,Coffee & Snacks,2023-03-17,170.0,13557.24,79.75,3.4,4.0,20.0,33741.8,Wallet,Takeaway,Renovation,Company Owned
OUT10107,Kfc,KFC - Ranchi 10,Ranchi,Jharkhand,793001.0,Food Court,Coffee & Snacks,2025-04-29,171.0,20791.55,121.59,4.5,21.0,12.0,110126.82,Wallet,Delivery,Open,Company Owned
OUT10108,Taco Bell,Taco Bell - Hyderabad 10,Hyderabad,Telangana,500032.0,Mall,Pizza,2025-09-05,248.0,21454.36,86.51,4.5,28.0,8.0,102904.21,Card,Drive-thru,Open,Company Owned
OUT10109,Wendy'S,Wendy's - Puducherry 14,Puducherry,Puducherry,171001.0,Food Court,Fried Chicken,2025-12-08,157.0,15646.37,99.66,4.4,28.0,20.0,92953.42,UPI,Delivery,Open,Company Owned
OUT10110,Mcdonald'S,McDonald's - Imphal 5,Imphal,Manipur,751001.0,Mall,Pizza,2025-01-06,99.0,20372.42,205.78,3.4,22.0,7.0,97070.05,Cash,Dine-in,Open,Company Owned
OUT10111,Mcdonald'S,McDonald's - Thiruvananthapuram 36,Thiruvananthapuram,Kerala,396210.0,Mall,Donuts,2024-09-13,205.0,24515.39,119.59,3.3,21.0,6.0,38775.83,Card,Drive-thru,Renovation,Company Owned
OUT10112,Domino'S,Domino's - Daman 13,Daman,Dadra And Nagar Haveli And Daman And Diu,171001.0,Drive-Thru,Pizza,2023-12-16,29.0,16289.91,561.72,4.0,25.0,9.0,25878.28,Wallet,Takeaway,Renovation,Company Owned
OUT10113,Pizza Hut,Pizza Hut - Thane 24,Thane,Maharashtra,411001.0,Standalone,Burger,2024-01-20,117.0,5708.14,48.79,3.6,24.0,10.0,130343.31,Cash,Delivery,Renovation,Company Owned
OUT10114,Subway,Subway - Mysuru 20,Mysuru,Karnataka,560001.0,High Street,Pizza,2025-08-28,156.0,31010.73,198.79,4.4,18.0,27.0,73940.0,UPI,Dine-in,Open,Franchise
OUT10115,Taco Bell,Taco Bell - Thiruvananthapuram 21,Thiruvananthapuram,Kerala,799001.0,Food Court,Pizza,2023-05-28,228.0,25627.79,112.4,3.0,8.0,5.0,77644.23,UPI,Takeaway,Closed,Franchise
OUT10116,Pizza Hut,Pizza Hut - Ranchi 21,Ranchi,Jharkhand,781001.0,High Street,Burger,2023-01-24,112.0,17345.54,154.87,4.2,24.0,22.0,129323.11,UPI,Takeaway,Closed,Company Owned
OUT10117,Burger King,Burger King - New Delhi 23,New Delhi,Delhi,110001.0,Drive-Thru,Coffee & Snacks,2024-03-24,163.0,16787.38,102.99,4.5,19.0,33.0,79730.87,Wallet,Delivery,Open,Company Owned
OUT10118,Starbucks,Starbucks - Ranchi 34,Ranchi,Jharkhand,396210.0,Food Court,Donuts,2024-06-04,181.0,17448.42,96.4,4.7,16.0,7.0,92993.9,UPI,Drive-thru,Closed,Franchise
OUT10119,Dunkin',Dunkin' - Dehradun 10,Dehradun,Uttarakhand,799001.0,Standalone,Sandwich,2023-03-22,122.0,9525.81,78.08,4.1,7.0,24.0,72795.59,UPI,Takeaway,Open,Franchise
OUT10120,Pizza Hut,Pizza Hut - Kohima 14,Kohima,Nagaland,795001.0,Standalone,Coffee & Snacks,2024-03-01,217.0,23732.45,109.37,4.1,4.0,9.0,79130.36,UPI,Drive-thru,Open,Franchise
OUT10121,Domino'S,Domino's - Shillong 12,Shillong,Meghalaya,793001.0,Food Court,Donuts,2024-02-12,180.0,11651.01,64.73,2.9,17.0,20.0,46066.23,Wallet,Drive-thru,Renovation,Company Owned
